timestamp,chunk_size,chunk_overlap,top_k,temperature,relevance_threshold,fallback_threshold,off_topic_threshold,llm_confidence_threshold,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_fallback_count,mode_llm_domain_check_count,mode_off_topic_count,mode_no_answer_count,mode_error_count,avg_improvement_pct,improvement_std,improvement_min,improvement_max,avg_relevance_score,avg_rag_score,avg_llm_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,avg_llm_specificity,avg_llm_relevance,avg_llm_factuality,notes
2025-11-05 13:13:14,800,100,4,0.2,0.62,0.5,0.1,5,0.5,12,5.94,1160,$0.0007,2,0,2,0,2,0,129.0%,200.79%,-40.0%,500.0%,0.428,7.83,5.83,6.83,9.67,7.00,4.67,7.33,5.50,Test run with 6 questions
2025-11-05 13:24:28,800,100,4,0.2,0.62,0.5,0.12,5,0.5,12,5.92,1246,$0.0007,2,0,2,1,1,0,221.7%,335.99%,-40.0%,800.0%,0.428,7.83,5.72,6.83,9.67,7.00,5.00,6.67,5.50,Test run with 6 questions
2025-11-05 13:27:15,800,100,4,0.2,0.62,0.5,0.15,5,0.5,12,4.10,1146,$0.0006,2,0,2,1,1,0,97.3%,222.47%,-76.5%,575.0%,0.428,6.94,6.00,6.17,8.67,6.00,4.33,8.33,5.33,Test run with 6 questions
2025-11-05 13:31:51,800,100,4,0.2,0.62,0.5,0.18,5,0.5,12,5.38,1229,$0.0007,2,0,2,1,1,0,148.4%,268.32%,-83.3%,525.0%,0.428,6.11,5.33,5.83,6.83,5.67,4.17,6.67,5.17,Test run with 6 questions
2025-11-05 13:38:43,800,100,4,0.2,0.62,0.5,0.2,5,0.5,12,4.42,1164,$0.0007,2,0,2,1,1,0,120.0%,312.93%,-89.3%,800.0%,0.428,5.61,6.11,4.83,7.17,4.83,4.67,8.17,5.50,Test run with 6 questions
2025-11-05 13:51:17,800,100,4,0.2,0.62,0.5,0.25,5,0.5,12,5.17,1247,$0.0007,2,0,2,1,1,0,152.6%,294.08%,-42.9%,800.0%,0.428,8.06,6.06,7.17,9.83,7.17,4.33,8.17,5.67,Test run with 6 questions
2025-11-05 13:59:26,800,100,4,0.2,0.62,0.5,0.3,5,0.5,12,3.37,1106,$0.0006,2,0,1,3,0,0,142.8%,290.17%,-89.3%,575.0%,0.428,4.94,5.50,4.83,5.50,4.50,4.17,7.00,5.33,Test run with 6 questions
