timestamp,chunk_size,chunk_overlap,top_k,temperature,relevance_threshold,fallback_threshold,off_topic_threshold,llm_confidence_threshold,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_fallback_count,mode_llm_domain_check_count,mode_off_topic_count,mode_no_answer_count,mode_error_count,avg_improvement_pct,improvement_std,improvement_min,improvement_max,avg_relevance_score,avg_rag_score,avg_llm_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,avg_llm_specificity,avg_llm_relevance,avg_llm_factuality,notes
2025-11-02 20:21:48,800,100,4,0.2,0.65,0.5,0.15,5,0.5,10,6.76,237,$0.0001,1,0,0,0,0,0,-11.1%,0.00%,-11.1%,-11.1%,0.817,8.00,9.00,8.00,9.00,7.00,8.00,10.00,9.00,Test run with 1 questions
2025-11-02 20:23:46,800,100,4,0.2,0.65,0.5,0.15,5,0.5,10,5.57,283,$0.0002,1,0,0,0,0,0,60.0%,0.00%,60.0%,60.0%,0.714,8.00,5.00,8.00,9.00,7.00,3.00,7.00,5.00,Test run with 1 questions
2025-11-02 20:25:54,800,100,4,0.2,0.65,0.5,0.15,5,0.5,10,4.10,233,$0.0001,1,0,0,0,0,0,800.0%,0.00%,800.0%,800.0%,0.833,9.00,1.00,9.00,10.00,8.00,1.00,1.00,1.00,Test run with 1 questions
2025-11-02 20:27:13,800,100,4,0.2,0.65,0.5,0.15,5,0.5,10,5.45,279,$0.0002,1,0,0,0,0,0,733.3%,0.00%,733.3%,733.3%,0.670,8.33,1.00,8.00,9.00,8.00,1.00,1.00,1.00,Test run with 1 questions
2025-11-02 20:29:47,800,100,4,0.2,0.65,0.5,0.15,5,0.5,10,6.88,390,$0.0002,1,0,0,0,0,0,600.0%,0.00%,600.0%,600.0%,0.748,9.33,1.33,9.00,10.00,9.00,1.00,2.00,1.00,Test run with 1 questions
